Model,Testset,Metric Type,Metric,Value,UserCount
hybrid-xgb,"hot user, hot wine",regression,mae,0.4513297713798951,464452
hybrid-xgb,"hot user, cold wine",regression,mae,0.49532996630471565,27729
hybrid-xgb,"cold user, hot wine",regression,mae,0.5134225345412391,58969
hybrid-xgb,"cold user, cold wine",regression,mae,0.6107693234609791,15051
hybrid-xgb,combined,regression,mae,0.4650687625443357,531276
hybrid-xgb,"hot user, hot wine",top-k,precision@5,0.9448410310717466,41549
hybrid-xgb,"hot user, cold wine",top-k,precision@5,0.9090909090909091,11
hybrid-xgb,"cold user, hot wine",top-k,precision@5,0.8982702702702704,14800
hybrid-xgb,"cold user, cold wine",top-k,precision@5,,0
hybrid-xgb,combined,top-k,precision@5,0.9299253679773342,57884
hybrid-xgb,"hot user, hot wine",top-k,recall@5,0.3531361382298039,41549
hybrid-xgb,"hot user, cold wine",top-k,recall@5,0.5270890725436179,11
hybrid-xgb,"cold user, hot wine",top-k,recall@5,0.3847064226566584,14800
hybrid-xgb,"cold user, cold wine",top-k,recall@5,,0
hybrid-xgb,combined,top-k,recall@5,0.360459210579919,57884
hybrid-xgb,"hot user, hot wine",top-k,hitrate@5,0.9985318539555705,41549
hybrid-xgb,"hot user, cold wine",top-k,hitrate@5,1.0,11
hybrid-xgb,"cold user, hot wine",top-k,hitrate@5,0.9971621621621621,14800
hybrid-xgb,"cold user, cold wine",top-k,hitrate@5,,0
hybrid-xgb,combined,top-k,hitrate@5,0.9982378550203856,57884
hybrid-xgb,"hot user, hot wine",top-k,ndcg@5,0.9823948297700459,41549
hybrid-xgb,"hot user, cold wine",top-k,ndcg@5,0.9873224384289845,11
hybrid-xgb,"cold user, hot wine",top-k,ndcg@5,0.9652636438865325,14800
hybrid-xgb,"cold user, cold wine",top-k,ndcg@5,0.0,0
hybrid-xgb,combined,top-k,ndcg@5,0.9763178093960325,57884
hybrid-xgb,"hot user, hot wine",top-k,precision@10,0.9191388481070544,41549
hybrid-xgb,"hot user, cold wine",top-k,precision@10,0.8454545454545456,11
hybrid-xgb,"cold user, hot wine",top-k,precision@10,0.8597905405405406,14800
hybrid-xgb,"cold user, cold wine",top-k,precision@10,,0
hybrid-xgb,combined,top-k,precision@10,0.9017206827448,57884
hybrid-xgb,"hot user, hot wine",top-k,recall@10,0.6751808248201809,41549
hybrid-xgb,"hot user, cold wine",top-k,recall@10,0.9524793388429752,11
hybrid-xgb,"cold user, hot wine",top-k,recall@10,0.7195412420315257,14800
hybrid-xgb,"cold user, cold wine",top-k,recall@10,,0
hybrid-xgb,combined,top-k,recall@10,0.6857649088217801,57884
hybrid-xgb,"hot user, hot wine",top-k,hitrate@10,0.9992298250258731,41549
hybrid-xgb,"hot user, cold wine",top-k,hitrate@10,1.0,11
hybrid-xgb,"cold user, hot wine",top-k,hitrate@10,0.9987837837837837,14800
hybrid-xgb,"cold user, cold wine",top-k,hitrate@10,,0
hybrid-xgb,combined,top-k,hitrate@10,0.9991189275101928,57884
hybrid-xgb,"hot user, hot wine",top-k,ndcg@10,0.9794335135665044,41549
hybrid-xgb,"hot user, cold wine",top-k,ndcg@10,0.9798760181999456,11
hybrid-xgb,"cold user, hot wine",top-k,ndcg@10,0.9607503217289628,14800
hybrid-xgb,"cold user, cold wine",top-k,ndcg@10,0.0,0
hybrid-xgb,combined,top-k,ndcg@10,0.9731143058483419,57884
graph-sage,"hot user, hot wine",regression,mse,0.4230487274872956,464452
graph-sage,"hot user, cold wine",regression,mse,0.6159486619131112,27729
graph-sage,"cold user, hot wine",regression,mse,1.0430490162017325,58969
graph-sage,"cold user, cold wine",regression,mse,0.9370534303954255,15051
graph-sage,combined,regression,mse,0.5500122857215705,531276
graph-sage,"hot user, hot wine",regression,rmse,0.6504219611047091,464452
graph-sage,"hot user, cold wine",regression,rmse,0.7848239687427437,27729
graph-sage,"cold user, hot wine",regression,rmse,1.0212977118361386,58969
graph-sage,"cold user, cold wine",regression,rmse,0.9680152015311668,15051
graph-sage,combined,regression,rmse,0.741628131695104,531276
graph-sage,"hot user, hot wine",regression,mae,0.4748882932872113,464452
graph-sage,"hot user, cold wine",regression,mae,0.6061864011732851,27729
graph-sage,"cold user, hot wine",regression,mae,0.8311884077882006,58969
graph-sage,"cold user, cold wine",regression,mae,0.7593629541565681,15051
graph-sage,combined,regression,mae,0.5480612437681129,531276
graph-sage,"hot user, hot wine",top-k,precision@5,0.9436857686105561,41549
graph-sage,"hot user, cold wine",top-k,precision@5,0.8909090909090908,11
graph-sage,"cold user, hot wine",top-k,precision@5,0.8672297297297298,14800
graph-sage,"cold user, cold wine",top-k,precision@5,,0
graph-sage,combined,top-k,precision@5,0.922641835394928,57884
graph-sage,"hot user, hot wine",top-k,recall@5,0.35248248270100685,41549
graph-sage,"hot user, cold wine",top-k,recall@5,0.5068870523415977,11
graph-sage,"cold user, hot wine",top-k,recall@5,0.3683387064674142,14800
graph-sage,"cold user, cold wine",top-k,recall@5,,0
graph-sage,combined,top-k,recall@5,0.3563371260634093,57884
graph-sage,"hot user, hot wine",top-k,hitrate@5,0.9985799898914535,41549
graph-sage,"hot user, cold wine",top-k,hitrate@5,1.0,11
graph-sage,"cold user, hot wine",top-k,hitrate@5,0.994527027027027,14800
graph-sage,"cold user, cold wine",top-k,hitrate@5,,0
graph-sage,combined,top-k,hitrate@5,0.9974949899799599,57884
graph-sage,"hot user, hot wine",top-k,ndcg@5,0.9811166505858306,41549
graph-sage,"hot user, cold wine",top-k,ndcg@5,0.954776417165471,11
graph-sage,"cold user, hot wine",top-k,ndcg@5,0.945603765127009,14800
graph-sage,"cold user, cold wine",top-k,ndcg@5,0.0,0
graph-sage,combined,top-k,ndcg@5,0.9714916473865932,57884
graph-sage,"hot user, hot wine",top-k,precision@10,0.9186839635129607,41549
graph-sage,"hot user, cold wine",top-k,precision@10,0.8454545454545456,11
graph-sage,"cold user, hot wine",top-k,precision@10,0.8434391891891893,14800
graph-sage,"cold user, cold wine",top-k,precision@10,,0
graph-sage,combined,top-k,precision@10,0.897778315251192,57884
graph-sage,"hot user, hot wine",top-k,recall@10,0.6747767779730717,41549
graph-sage,"hot user, cold wine",top-k,recall@10,0.9651056014692379,11
graph-sage,"cold user, hot wine",top-k,recall@10,0.706477043240936,14800
graph-sage,"cold user, cold wine",top-k,recall@10,,0
graph-sage,combined,top-k,recall@10,0.6822870136869176,57884
graph-sage,"hot user, hot wine",top-k,hitrate@10,0.9992057570579316,41549
graph-sage,"hot user, cold wine",top-k,hitrate@10,1.0,11
graph-sage,"cold user, hot wine",top-k,hitrate@10,0.9987837837837837,14800
graph-sage,"cold user, cold wine",top-k,hitrate@10,,0
graph-sage,combined,top-k,hitrate@10,0.9991016515790201,57884
graph-sage,"hot user, hot wine",top-k,ndcg@10,0.9784804844775841,41549
graph-sage,"hot user, cold wine",top-k,ndcg@10,0.9489615776303316,11
graph-sage,"cold user, hot wine",top-k,ndcg@10,0.9441506050606541,14800
graph-sage,"cold user, cold wine",top-k,ndcg@10,0.0,0
graph-sage,combined,top-k,ndcg@10,0.9691129584226297,57884
